record_id,photo_url,platform_name,country_of_origin,manufacturer,domain,category,status,photo_status,photo_search_url,photo_page_url,photo_license,aliases,model_codes,airframe_type,class_mark,mtow_kg,endurance_min,endurance_h,range_km,max_speed_kmh,payload_kg,wingspan_m,length_m,source_count,source_datasets,source_urls,verification_level,origin_confidence,last_compiled,notes
UAV-0011,,Volocopter VoloDrone,Germany,,Civilian / Commercial,Heavy-lift multicopter,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Volocopter%20VoloDrone%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Cargo logistics
UAV-0012,,Terra Drone survey platforms,Japan,,Civilian / Commercial,Multi-platform services,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Terra%20Drone%20survey%20platforms%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Survey / inspection
UAV-0013,,Yamaha FAZER R G2,Japan,,Civilian / Commercial,Unmanned helicopter,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Yamaha%20FAZER%20R%20G2%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Agriculture / cargo
UAV-0014,,Flyability Elios 3,Switzerland,,Civilian / Commercial,Caged indoor multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Flyability%20Elios%203%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Confined-space inspection
UAV-0015,,Fotokite Sigma,Switzerland,,Civilian / Commercial,Tethered multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Fotokite%20Sigma%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Public safety situational awareness
UAV-0016,,senseFly eBee X,Switzerland,,Civilian / Commercial,Fixed-wing survey UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=senseFly%20eBee%20X%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Mapping / agriculture
UAV-0017,,WingtraOne GEN II,Switzerland,,Civilian / Commercial,VTOL fixed-wing,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=WingtraOne%20GEN%20II%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Survey / mapping
UAV-0018,,Vertical VX4,United Kingdom,,Civilian / Commercial,eVTOL aircraft,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Vertical%20VX4%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0019,,Amazon MK30,United States,,Civilian / Commercial,Delivery UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Amazon%20MK30%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Parcel delivery
UAV-0020,,Archer Midnight,United States,,Civilian / Commercial,eVTOL aircraft,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Archer%20Midnight%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0021,,Freefly Alta X,United States,,Civilian / Commercial,Heavy-lift multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Freefly%20Alta%20X%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Cinema / sensors / cargo
UAV-0022,,Joby S4,United States,,Civilian / Commercial,Piloted/autonomous-capable eVTOL,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Joby%20S4%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0023,,Wing delivery drone,United States,,Civilian / Commercial,Hybrid VTOL delivery UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Wing%20delivery%20drone%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Parcel delivery
UAV-0024,,Wisk Generation 6,United States,,Civilian / Commercial,Autonomous eVTOL,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Wisk%20Generation%206%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Urban air mobility
UAV-0025,,Zipline Platform 1,United States,,Civilian / Commercial,Fixed-wing delivery UAV,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Zipline%20Platform%201%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Medical logistics
UAV-0026,,Zipline Platform 2,United States,,Civilian / Commercial,VTOL delivery system,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Zipline%20Platform%202%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Precision delivery
UAV-0027,,Matternet M2,United States / Switzerland,,Civilian / Commercial,Delivery multirotor,Not specified,Not collected,https://commons.wikimedia.org/w/index.php?search=Matternet%20M2%20UAV&title=Special:MediaSearch&type=image,,,,,,,,,,,,,,,1,Curated UAV Seed 2026,Internal curated seed,Curated; source review required,High,2026-08-02,Medical logistics
UAV-0028,,AVSS PRS-M350EX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=AVSS%20PRS-M350EX%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-190-avss-prs-m350ex,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0029,,AVSS PRS-M3DTEX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=AVSS%20PRS-M3DTEX%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-189-avss-prs-m3dtex,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0030,,PRS-M4EX,Canada,AVSS - Aerial Vehicle Safety Solutions Inc.,Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=PRS-M4EX%20UAV&title=Special:MediaSearch&type=image,,,,AVSS PRS-M4EX,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-467-avss-prs-m4ex,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0031,,Agras MG-1,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20MG-1%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24500,22,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0032,,Agras MG-1P,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20MG-1P%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24800,20,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0033,,Agras MG-1P RTK,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20MG-1P%20RTK%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24800,20,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0034,,Agras MG-1S,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20MG-1S%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24800,22,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0035,,Agras MG-1S RTK,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20MG-1S%20RTK%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24800,22,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0036,,Agras T10,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T10%20UAV&title=Special:MediaSearch&type=image,,,,,,none,24800,17,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0037,,Agras T100,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T100%20UAV&title=Special:MediaSearch&type=image,,,,,,none,175000,10,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0038,,Agras T16,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T16%20UAV&title=Special:MediaSearch&type=image,,,,,,none,42000,18,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0039,,Agras T20,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T20%20UAV&title=Special:MediaSearch&type=image,,,,,,none,47500,9,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0040,,Agras T20P,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T20P%20UAV&title=Special:MediaSearch&type=image,,,,,,none,58000,7,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0041,,Agras T25,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T25%20UAV&title=Special:MediaSearch&type=image,,,,,,none,58000,15,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0042,,Agras T25P,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T25P%20UAV&title=Special:MediaSearch&type=image,,,,,,none,60000,15,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0043,,Agras T30,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T30%20UAV&title=Special:MediaSearch&type=image,,,,,,none,78000,20.5,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0044,,Agras T40,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T40%20UAV&title=Special:MediaSearch&type=image,,,,,,none,101000,18,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0045,,Agras T70P,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Agras%20T70P%20UAV&title=Special:MediaSearch&type=image,,,,,,none,126000,11,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0046,,ATOM,China,"Shenzhen Potensic Intelligent Co., Ltd",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=ATOM%20UAV&title=Special:MediaSearch&type=image,,,,DSDR04C,Multirotor,C0,,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-71-dsdr04c,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0047,,ATOM 2,China,"Shenzhen Potensic Intelligent Co., Ltd",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=ATOM%202%20UAV&title=Special:MediaSearch&type=image,,,,DSDR23A,Multirotor,C0,,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-252-dsdr23a,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0048,,ATOM 3,China,"Shenzhen Potensic Intelligent Co., Ltd",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=ATOM%203%20UAV&title=Special:MediaSearch&type=image,,,,DSDR24A,Multirotor,C0,,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-670-dsdr24a,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0049,,ATOM LT,China,"Shenzhen Potensic Intelligent Co., Ltd",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=ATOM%20LT%20UAV&title=Special:MediaSearch&type=image,,,,DSDR04D,Multirotor,C0,,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-78-dsdr04d,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0050,,ATOM SE,China,"Shenzhen Potensic Intelligent Co., Ltd",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=ATOM%20SE%20UAV&title=Special:MediaSearch&type=image,,,,DSDR04B,Multirotor,C0,,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-72-dsdr04b,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0051,,Avata,China,DJI,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Avata%20UAV&title=Special:MediaSearch&type=image,,,,,,none,410,18,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0052,,Breeze,China,Yuneec,Civilian / Commercial,Commercial multirotor/fixed-wing,Listed in OpenDroneList,Not collected,https://commons.wikimedia.org/w/index.php?search=Breeze%20UAV&title=Special:MediaSearch&type=image,,,,,,none,385,12,,,,,,,1,OpenDroneList,https://github.com/dronetag/opendronelist,Community dataset; verify against manufacturer,Medium,2026-08-02,
UAV-0053,,C5 Eurosafe Matrice 400,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%20400%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-2627-c5-eurosafe-matrice-400,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0054,,C5 Eurosafe Matrice 4D,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204D%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-677-c5-eurosafe-matrice-4d,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0055,,C5 Eurosafe Matrice 4E,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204E%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-547-c5-eurosafe-matrice-4e,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0056,,C5 Eurosafe Matrice 4T,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204T%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-549-c5-eurosafe-matrice-4t,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0057,,C5 Eurosafe Matrice 4TD,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Matrice%204TD%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-678-c5-eurosafe-matrice-4td,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0058,,C5 Eurosafe Mavic 3,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-568-c5-eurosafe-mavic-3,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0059,,C5 Eurosafe Mavic 3 Cine,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-532-c5-eurosafe-mavic-3,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0060,,C5 Eurosafe Mavic 3 Classic,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Classic%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-531-c5-eurosafe-mavic-3,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0061,,C5 Eurosafe Mavic 3 Pro,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-530-c5-eurosafe-mavic-3,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0062,,C5 Eurosafe Mavic 3 Pro Cine,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203%20Pro%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-569-c5-eurosafe-mavic-3,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0063,,C5 Eurosafe Mavic 3E,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203E%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-405-c5-eurosafe-mavic-3e,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
UAV-0064,,C5 Eurosafe Mavic 3M,China,"EUROSAFE SYSTEMS, S.L.",Civilian / Commercial,Multirotor,EASA-listed for EU operations,Not collected,https://commons.wikimedia.org/w/index.php?search=C5%20Eurosafe%20Mavic%203M%20UAV&title=Special:MediaSearch&type=image,,,,,Multirotor,C5 (STS 01),,,,,,,,,1,EASA Drones for EU Operations,https://www.easa.europa.eu/en/domains/drones-air-mobility/drones-evtol-designs/drones-eu-operations/pr-407-c5-eurosafe-mavic-3m,Official regulatory list; manufacturer-supplied data,Medium,2026-08-02,Operations: Open / Standard
