id,item_type,subject,detail,severity,suggested_action,blocker,status,entity_type,entity_id,created_at,updated_at
4,source_unreachable,General Atomics Aeronautical Systems official product pages,"host www.ga-asi.com refused by network egress policy: HTTPSConnectionPool(host='www.ga-asi.com', port=443): Max retries exceeded with url: /remotely-piloted-aircraft (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.ga-asi.com,open,,,2026-08-02T15:46:47+00:00,2026-08-02T15:46:47+00:00
6,source_unreachable,Israel Aerospace Industries official product pages,"host www.iai.co.il refused by network egress policy: HTTPSConnectionPool(host='www.iai.co.il', port=443): Max retries exceeded with url: /p/unmanned-aerial-systems (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.iai.co.il,open,,,2026-08-02T15:46:48+00:00,2026-08-02T15:46:48+00:00
11,source_unreachable,UK Ministry of Defence remotely piloted air systems,"host www.gov.uk refused by network egress policy: HTTPSConnectionPool(host='www.gov.uk', port=443): Max retries exceeded with url: /government/collections/remotely-piloted-air-systems (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.gov.uk,open,,,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
10,source_unreachable,US Department of Defense unmanned systems programme pages,"host www.defense.gov refused by network egress policy: HTTPSConnectionPool(host='www.defense.gov', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",high,Re-run discovery from an environment whose egress policy permits this host.,network: www.defense.gov,open,,,2026-08-02T15:46:51+00:00,2026-08-02T15:46:51+00:00
23,country_of_origin,Aquila 2,no origin evidence in any source,medium,Consult a tier 1 manufacturer or defence-ministry page for design origin.,,open,platforms,174,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
24,country_of_origin,Aquila 3,no origin evidence in any source,medium,Consult a tier 1 manufacturer or defence-ministry page for design origin.,,open,platforms,175,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
22,country_of_origin,CUBEE,no origin evidence in any source,medium,Consult a tier 1 manufacturer or defence-ministry page for design origin.,,open,platforms,160,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
25,country_of_origin,Hunter,"sources of comparable credibility disagree: Israel (0.80), Multinational (0.80)",medium,Consult a tier 1 manufacturer or defence-ministry page for design origin.,,open,platforms,522,2026-08-02T15:46:54+00:00,2026-08-02T15:46:54+00:00
3,source_unreachable,Wikipedia list-of-UAV index pages,"host en.wikipedia.org refused by network egress policy: HTTPSConnectionPool(host='en.wikipedia.org', port=443): Max retries exceeded with url: /w/api.php?format=json&formatversion=2&action=parse&page=List+of+unmanned+aerial+vehicles&prop=links&redirects=1 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",medium,Re-run discovery from an environment whose egress policy permits this host.,network: en.wikipedia.org,open,,,2026-08-02T15:46:46+00:00,2026-08-02T15:46:46+00:00
13,possible_duplicate,DJI Matrice 200 <-> DJI Matrice 200 V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.887, tokens 0.75)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,662,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
14,possible_duplicate,DJI Matrice 210 <-> DJI Matrice 210 V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.887, tokens 0.75)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,664,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
15,possible_duplicate,DJI Matrice 210 RTK <-> DJI Matrice 210 RTK V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.920, tokens 0.80)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,665,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
16,possible_duplicate,DJI Phantom 4 Pro <-> DJI Phantom 4 Pro V2.0,"one name adds a model designation ['0', 'v2'] - possibly the same aircraft (0.830, tokens 0.67)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,702,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
17,possible_duplicate,Matrice 200 <-> Matrice 200 V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.834, tokens 0.67)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,209,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
18,possible_duplicate,Matrice 210 <-> Matrice 210 V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.834, tokens 0.67)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,211,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
20,possible_duplicate,Matrice 210 RTK <-> DJI Matrice 210 RTK V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.766, tokens 0.60)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,212,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
19,possible_duplicate,Matrice 210 RTK <-> Matrice 210 RTK V2,"one name adds a model designation ['v2'] - possibly the same aircraft (0.887, tokens 0.75)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,212,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
21,possible_duplicate,Phantom 4 Pro <-> Phantom 4 Pro V2.0,"one name adds a model designation ['0', 'v2'] - possibly the same aircraft (0.781, tokens 0.60)",low,Confirm with a manufacturer or programme-office source whether these are one platform or officially separate variants.,,open,platforms,261,2026-08-02T15:46:53+00:00,2026-08-02T15:46:53+00:00
