raw_id,raw_name,source_dataset,source_url,external_ref,raw_country,raw_manufacturer,domain,category,status,credibility_tier,promoted_record_id,promoted_name,created_at
503,3S,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0503,France,Drone Protect Systems,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-87319D872852,3S,2026-08-02T16:05:02+00:00
462,Burevestnik-MB,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0462,Belarus,NPT MBK*,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-0DEBEDB1D81C,Burevestnik-MB,2026-08-02T16:05:02+00:00
463,Busel (M50),Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0463,Belarus,NPT MBK*,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-43584EDF4F2D,Busel (M50),2026-08-02T16:05:02+00:00
476,CH-3,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0476,China,CASC,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-D6936580481A,CH-3,2026-08-02T16:05:02+00:00
477,CH-4,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0477,China,CASC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-7AF6B8BF6EC1,CH-4,2026-08-02T16:05:02+00:00
478,CH-5,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0478,China,CASC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-6795C1B01464,CH-5,2026-08-02T16:05:02+00:00
475,CH-7,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0475,China,CASC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-2D3051BF87F8,CH-7,2026-08-02T16:05:02+00:00
479,CH-802,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0479,China,CASC,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-11AD1DB97510,CH-802,2026-08-02T16:05:02+00:00
459,CamCopter S-100,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0459,Austria,Schiebel,Military / Government,Medium tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-962CC112C981,CamCopter S-100,2026-08-02T16:05:02+00:00
597,Cardinal II,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0597,Taiwan,NCSIST,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-EF86EDE7D2CE,Cardinal II,2026-08-02T16:05:02+00:00
598,Chung Shyang II,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0598,Taiwan,CSIST,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-BE71930428AE,Chung Shyang II,2026-08-02T16:05:02+00:00
480,Cloud Shadow,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0480,China,AVIC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-43600076269E,Cloud Shadow,2026-08-02T16:05:02+00:00
590,Condor,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0590,Spain,Drone Tools,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-563864D29FC5,Condor,2026-08-02T16:05:02+00:00
569,Corsair,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0569,Russia,OKB Luch,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-0FB7EC51FF03,Corsair,2026-08-02T16:05:02+00:00
620,Desert Hawk (3),Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0620,United States,Lockheed Martin,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-2BBE5CF43B5E,Desert Hawk (3),2026-08-02T16:05:02+00:00
482,Divine Eagle,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0482,China,Shenyang Aircraft Corporation’s 601 Institute,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-9FE364EBD436,Divine Eagle,2026-08-02T16:05:02+00:00
529,Dominator,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0529,Israel,Aeronautics,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-E945A5C52722,Dominator,2026-08-02T16:05:02+00:00
570,Eleron-3SV,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0570,Russia,Eniks,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-C4EB7352B9E8,Eleron-3SV,2026-08-02T16:05:02+00:00
594,F-330,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0594,Sweden,UMS Skeldar,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-EA6F9397D0EB,F-330,2026-08-02T16:05:02+00:00
555,FFOS/FFRS,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0555,Japan,Fuji Heavy Industries,Military / Government,Medium tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-9D1EEF6C675F,FFOS,2026-08-02T16:05:02+00:00
464,FT-100 Horus,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0464,Brazil,FT Sistemas,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-01B5423E9CD4,FT-100 Horus,2026-08-02T16:05:02+00:00
549,Falco,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0549,Italy,Leonardo,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-E49E22C54C86,Falco,2026-08-02T16:05:02+00:00
548,Falco Explorer,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0548,Italy,Leonardo,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-6896A67A52FF,Falco Explorer,2026-08-02T16:05:02+00:00
481,Fei Long 1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0481,China,Guide Control Technology Company,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-8E0260829023,Fei Long 1,2026-08-02T16:05:02+00:00
483,Feihong-98,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0483,China,AVIC,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-41A490C4F008,Feihong-98,2026-08-02T16:05:02+00:00
565,FlyEye,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0565,Peru,WB Electronics,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-9E6C7BE9EE67,FlyEye,2026-08-02T16:05:02+00:00
591,Fulmar X,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0591,Spain,Thales España,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-AFAE5EB94732,Fulmar X,2026-08-02T16:05:02+00:00
558,G1 Guerrero,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0558,Mexico,Hydra Technologies,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-4165AA5C139E,G1 Guerrero,2026-08-02T16:05:02+00:00
571,Granat-1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0571,Russia,Kalashnikov,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-461E481DD8B0,Granat-1,2026-08-02T16:05:02+00:00
572,Granat-4,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0572,Russia,Kalashnikov,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-CB32D8A94535,Granat-4,2026-08-02T16:05:02+00:00
484,HW-350,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0484,China,CASIC,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-DEC5F2456540,HW-350,2026-08-02T16:05:02+00:00
530,Harop,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0530,Israel,IAI,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-3E5E250EAC37,Harop,2026-08-02T16:05:02+00:00
531,Harpy,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0531,Israel,IAI,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-29E2EF5CCEBA,Harpy,2026-08-02T16:05:02+00:00
532,Hermes 450,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0532,Israel,Elbit Systems,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-21A397A66BF4,Hermes 450,2026-08-02T16:05:02+00:00
533,Hermes 900,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0533,Israel,Elbit Systems,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-886CBB3D0A84,Hermes 900,2026-08-02T16:05:02+00:00
534,Heron,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0534,Israel,IAI,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-58C71771B13F,Heron,2026-08-02T16:05:02+00:00
610,Horlytsya,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0610,Ukraine,Antonov,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-082E169B4F91,Horlytsya,2026-08-02T16:05:02+00:00
535,Hovermast 150,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0535,Israel,Sky Sapience,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-27B3A8859EBE,Hovermast 150,2026-08-02T16:05:02+00:00
502,Huginn X1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0502,Denmark,Sky-Watch,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-433AF40D3DD1,Huginn X1,2026-08-02T16:05:02+00:00
539,Hunter,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0539,Israel,"IAI,Northrop Grumman",Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-6E2F9E6111E7,Hunter,2026-08-02T16:05:02+00:00
547,Hunter,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0547,Israel / United States,"IAI,Northrop Grumman",Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-6E2F9E6111E7,Hunter,2026-08-02T16:05:02+00:00
505,IT180-3EL-1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0505,France,"ECA Group,Infotron",Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-A9B8B31A5AD2,IT180-3EL-1,2026-08-02T16:05:02+00:00
580,Indiza,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0580,South Africa,CSIR,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-D7191F5D211C,Indiza,2026-08-02T16:05:02+00:00
485,Inspire,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0485,China,DJI,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-646247ECF81F,Inspire,2026-08-02T16:05:02+00:00
621,InstantEye (Gen3),Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0621,United States,Physical Sciences,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-72BB3DA76919,InstantEye (Gen3),2026-08-02T16:05:02+00:00
554,JUXS-S1,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0554,Japan,Hitachi,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-8A10957B68E1,JUXS-S1,2026-08-02T16:05:02+00:00
623,K-MAX,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0623,United States,Kaman,Military / Government,Large / strategic; Rotary-wing,In use or under development as documented in 2019,2,UAV-254D7329D62D,K-MAX,2026-08-02T16:05:02+00:00
512,KZO,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0512,Germany,Rheinmetall,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-97AA3546E8BC,KZO,2026-08-02T16:05:02+00:00
605,Karayel,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0605,Türkiye,Vestel Defence,Military / Government,Medium tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-A73FA6F0E9C3,Karayel,2026-08-02T16:05:02+00:00
606,Kargu,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0606,Türkiye,STM,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-B179BF7D03ED,Kargu,2026-08-02T16:05:02+00:00
622,Karma,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0622,United States,GoPro,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-512423CB3A48,Karma,2026-08-02T16:05:02+00:00
458,Krunk,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0458,Armenia,,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-8AB767383D70,Krunk,2026-08-02T16:05:02+00:00
513,LUNA,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0513,Germany,EMT,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-4B7FAD4F3F94,LUNA,2026-08-02T16:05:02+00:00
514,LUNA NG,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0514,Germany,EMT,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-317530D18E59,Luna NG,2026-08-02T16:05:02+00:00
611,Leleka-100,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0611,Ukraine,DeViro,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-CC54D6424233,Leleka-100,2026-08-02T16:05:02+00:00
515,MIKADO,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0515,Germany,AirRobot,Military / Government,Small / tactical; Rotary-wing,In use or under development as documented in 2019,2,UAV-C943535C1552,MIKADO,2026-08-02T16:05:02+00:00
624,MQ-1 Predator,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0624,United States,GA-ASI,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-8EBB238AD2EF,MQ-1 Predator,2026-08-02T16:05:02+00:00
625,MQ-19 Aerosonde,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0625,United States,AAI,Military / Government,Small / tactical; Fixed-wing,In use or under development as documented in 2019,2,UAV-EA2801DE4AAC,MQ-19 Aerosonde,2026-08-02T16:05:02+00:00
626,MQ-1C Gray Eagle,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0626,United States,GA-ASI,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-864D8FEC9E00,MQ-1C Gray Eagle,2026-08-02T16:05:02+00:00
627,MQ-25 Stingray,Bard Drone Databook 2019,https://dronecenter.bard.edu/files/2019/10/CSD-Drone-Databook-Web.pdf,SRC-0627,United States,Boeing,Military / Government,Large / strategic; Fixed-wing,In use or under development as documented in 2019,2,UAV-0B8FC0E9C9F7,MQ-25 Stingray,2026-08-02T16:05:02+00:00
