record_id,uav_name,country_of_origin,country_iso3,manufacturer,family,domain,category,airframe_type,status,introduced_year,retired_year,description_short,verification_status,confidence_score,origin_confidence,participating_countries,production_country,aliases,source_count,sources,photo_path,photo_source_page,photo_license,photo_identity_status,created_at,updated_at
UAV-D4AE77E6239B,Aeryon SkyRanger R70,Canada,CAN,,,Dual-use,Quadrotor,,Not specified,,,ISR / public safety,Needs Verification,0.47,Medium,,,r70,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-6E2FEE9FC17D,Draganfly Commander 3 XL,Canada,CAN,,,Dual-use,Multirotor,,Not specified,,,Public safety / delivery,Needs Verification,0.47,Medium,,,,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-FD98C55ACC3A,NightHawk IV,Canada,CAN,ARA Robotics,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-A136720C0E92,AVSS PRS-M350EX,Canada,CAN,AVSS - Aerial Vehicle Safety Solutions Inc.,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Probable,0.8,High,,,,2,"EASA Drones for EU Operations,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-6DCCE74593B5,AVSS PRS-M3DTEX,Canada,CAN,AVSS - Aerial Vehicle Safety Solutions Inc.,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Probable,0.8,High,,,,2,"EASA Drones for EU Operations,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-C503C1DAEDDE,PRS-M4EX,Canada,CAN,AVSS - Aerial Vehicle Safety Solutions Inc.,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Probable,0.8,High,,,AVSS PRS-M4EX,2,"EASA Drones for EU Operations,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-60AEB3537CD9,AutoFlight Prosperity I,China,CHN,,,Civilian / Commercial,eVTOL aircraft,,Not specified,,,Urban air mobility,Needs Verification,0.47,Medium,,,,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-C95DF2AD2E42,DJI Agras T50,China,CHN,,,Civilian / Commercial,Agricultural multirotor,,Not specified,,,Spraying / spreading,Needs Verification,0.47,Medium,,,t50,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-CC05792900B4,DJI Mavic 3 Enterprise,China,CHN,,,Dual-use,Small multirotor,,Not specified,,,Survey / inspection / public safety,Needs Verification,0.47,Medium,,,,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-4E69072BC8AF,EHang EH216-S,China,CHN,,,Civilian / Commercial,Passenger eVTOL multicopter,,Not specified,,,Urban air mobility,Needs Verification,0.47,Medium,,,eh216,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-438231AA4625,GJ-11 Sharp Sword,China,CHN,,,Military,Flying-wing UCAV,,Not specified,,,Low-observable strike,Needs Verification,0.47,Medium,,,gj-11,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-370CC77AB44D,JOUAV CW-25E,China,CHN,,,Dual-use,VTOL fixed-wing,,Not specified,,,Survey / surveillance,Needs Verification,0.47,Medium,,,cw-25e,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-1BD8947AA552,TB-001 Twin-Tailed Scorpion,China,CHN,,,Military,Twin-engine MALE,,Not specified,,,ISR / strike,Needs Verification,0.47,Medium,,,tb-001,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-70761227895B,WZ-7 Soaring Dragon,China,CHN,,,Military,HALE fixed-wing,,Not specified,,,Strategic ISR,Needs Verification,0.47,Medium,,,wz-7,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-7F9D9F308BC1,WZ-8,China,CHN,,,Military,High-speed reconnaissance UAV,,Not specified,,,Strategic ISR,Needs Verification,0.47,Medium,,,wz-8,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-F81B29EFB382,XPeng AeroHT flying-car concepts,China,CHN,,,Civilian / Commercial,eVTOL / modular aircraft,,Not specified,,,Personal air mobility,Needs Verification,0.47,Medium,,,,2,"Curated UAV Seed 2026,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-F3823EA9E1E4,AV500W,China,CHN,AVIC,,Military,Medium tactical; Rotary-wing,Rotary-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,av500w,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-43600076269E,Cloud Shadow,China,CHN,AVIC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-41A490C4F008,Feihong-98,China,CHN,AVIC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-E0D9B7C1B791,Qi Mingxing,China,CHN,AVIC,,Military,Large / strategic; Rotary-wing,Rotary-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-4B3D85179BB0,Wing Loon 1D,China,CHN,AVIC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,loon-1d,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-A1B88DA1D2E2,Wing Loong I,China,CHN,AVIC,,Military,MALE fixed-wing,Fixed-wing,Not specified,,,Databook systems specification page 305.,Verified,0.8,High,,,,3,"Curated UAV Seed 2026,Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-2903DA6D9066,Wing Loong II,China,CHN,AVIC,,Military,MALE fixed-wing,Fixed-wing,Not specified,,,Databook systems specification page 305.,Verified,0.8,High,,,,3,"Curated UAV Seed 2026,Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-65FD2EE7F763,Yaoying 2,China,CHN,AVIC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-A3298C746F55,Autel EVO Max 4T,China,CHN,Autel,,Dual-use,Enterprise multirotor,,Not specified,,,Inspection / public safety,Probable,0.77,High,,,EVO MAX 4T | max-4t,4,"Curated UAV Seed 2026,OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-543C3A3E7380,Dragonfish,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Dragonfish,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-9B5FFD026933,EVO Nano,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel EVO Nano,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-261679FD18AD,Evo,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-099C85094AA5,Evo 2 Dual,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo 2 Dual | evo-2,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-126C43849BCB,Evo 2 Dual 640T,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo 2 Dual 640T | dual-640t | evo-2,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-14D4286CF220,Evo 2 Pro,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo 2 Pro | evo-2,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-BE2A95ECCACD,Evo II,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo II,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-1AA4D39A8CD2,Evo Lite,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Evo Lite | Evo Lite+,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-9D65C9C5A1ED,Kestrel,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel Kestrel,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-326C0C4DB35E,X-Star,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel X-Star,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-EC8A7E65B929,X-Star Premium,China,CHN,Autel,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,Autel X-Star Premium,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-D60A771E6147,BZK-005,China,CHN,Beihang,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,bzk-005,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-9D7BF26BBC3C,BZK-206,China,CHN,Beihang,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,bzk-206,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-D6936580481A,CH-3,China,CHN,CASC,,Military,Medium tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,ch-3,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-7AF6B8BF6EC1,CH-4,China,CHN,CASC,,Military,MALE fixed-wing,Fixed-wing,Not specified,,,Databook systems specification page 304.,Verified,0.8,High,,,ch-4,3,"Curated UAV Seed 2026,Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-6795C1B01464,CH-5,China,CHN,CASC,,Military,Heavy MALE,Fixed-wing,Not specified,,,Databook systems specification page 304.,Verified,0.8,High,,,ch-5,3,"Curated UAV Seed 2026,Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-2D3051BF87F8,CH-7,China,CHN,CASC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,ch-7,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-11AD1DB97510,CH-802,China,CHN,CASC,,Military,Small / tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 304.,Probable,0.7,Medium,,,ch-802,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-DEC5F2456540,HW-350,China,CHN,CASIC,,Military,Medium tactical; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,hw-350,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-582613A5D9A0,Tian Ying,China,CHN,CASIC,,Military,Large / strategic; Fixed-wing,Fixed-wing,In use or under development as documented in 2019,,,Databook systems specification page 305.,Probable,0.7,Medium,,,,2,"Bard Drone Databook 2019,Global UAV Database 2026 seed package",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-DE32D1E71DA4,Agras MG-1,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras MG-1 | mg-1,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-F82B597F2D5F,Agras MG-1P,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras MG-1P | mg-1p,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-8D3B1799679B,Agras MG-1P RTK,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras MG-1P RTK | mg-1p,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-F48CE028B409,Agras MG-1S,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras MG-1S | mg-1s,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-4B1A1A6E4DAA,Agras MG-1S RTK,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras MG-1S RTK | mg-1s,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-37CA78522FDC,Agras T10,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T10 | t10,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-EE97D15CCB67,Agras T100,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T100 | t100,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-AC7903BFDD00,Agras T16,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T16 | t16,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-9598867F824E,Agras T20,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T20 | t20,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-3E9070FA84BF,Agras T20P,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T20P | t20p,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-9D8D760A1F15,Agras T25,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T25 | t25,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-ED7A22BC7414,Agras T25P,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T25P | t25p,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-1DA983958840,Agras T30,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T30 | t30,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-79F7DC00223A,Agras T40,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T40 | t40,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-DD521E8E0B4C,Agras T70P,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Agras T70P | t70p,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-5B5CAB331A9F,Avata,China,CHN,DJI,,Civilian / Commercial,Commercial multirotor/fixed-wing,,Listed in OpenDroneList,,,,Probable,0.67,Medium,,,DJI Avata,3,"OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-FB9C2B63EAAE,DJI AIR 3S,China,CHN,DJI,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Verified,0.9,High,,,Air 3S | CZ3SCL,3,"EASA Drones for EU Operations,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:52+00:00
UAV-4BC446F1E640,DJI Air 2S,China,CHN,DJI,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Verified,1.0,High,,,Air 2S | DA2SUE1A,4,"EASA Drones for EU Operations,OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-B5C28A6107DB,DJI Air 3,China,CHN,DJI,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Verified,1.0,High,,,Air 3 | EB3WBC,4,"EASA Drones for EU Operations,OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-86FC68A8B502,DJI Avata 2,China,CHN,DJI,,Civilian / Commercial,Multirotor,Multirotor,EASA-listed for EU operations,,,Operations: Open / Standard,Verified,1.0,High,,,Avata 2 | QF3W4K,4,"EASA Drones for EU Operations,OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
UAV-3EE2A523387C,DJI FlyCart 30,China,CHN,DJI,,Civilian / Commercial,Cargo multirotor,,Not specified,,,Logistics / delivery,Probable,0.77,High,,,FlyCart 30,4,"Curated UAV Seed 2026,OpenDroneList,Global UAV Database 2026 seed package,OpenDroneList community drone registry",,,,no image,2026-08-02T15:46:52+00:00,2026-08-02T15:46:54+00:00
